site_name,latitude,longitude,date,air_temp,wind,salinity,diss_o2,transect,depth,toc,sc_density,longitude2
Punta Herradura,28.9464,113.47827,16-Oct-14,24.7,1,34.5,12.1,1,2.8,28,0,-113.47827
Punta Herradura,28.9464,113.47827,16-Oct-14,24.7,1,34.5,12.1,2,2.8,28,0,-113.47827
Punta Herradura,28.9464,113.47827,16-Oct-14,24.7,1,34.5,12.1,3,5.4,30,0,-113.47827
Punta Herradura,28.9464,113.47827,16-Oct-14,24.7,1,34.5,12.1,4,5.4,30,0,-113.47827
Punta Herradura,28.9464,113.47827,16-Oct-14,24.7,1,34.5,12.1,5,5,27,0,-113.47827
Punta Herradura,28.9464,113.47827,16-Oct-14,24.7,1,34.5,12.1,6,5,27,0,-113.47827
Gemelos 2 Sur,28.95553,113.47569,16-Oct-14,28,,35.7,11.9,1,18,29,0,-113.47569
Gemelos 2 Sur,28.95553,113.47569,16-Oct-14,28,,35.7,11.9,2,18.5,27,0,-113.47569
Gemelos 2 Sur,28.95553,113.47569,16-Oct-14,28,,35.7,11.9,3,13.4,27,0,-113.47569
Gemelos 2 Sur,28.95553,113.47569,16-Oct-14,28,,35.7,11.9,4,14.4,27,0,-113.47569
Gemelos 2 Sur,28.95553,113.47569,16-Oct-14,28,,35.7,11.9,5,5.4,27,0,-113.47569
Gemelos 2 Sur,28.95553,113.47569,16-Oct-14,28,,35.7,11.9,6,5.6,27,0.06,-113.47569
Gemelos 1 Norte,28.95568,113.4828,16-Oct-14,28,,35.7,11.9,1,18,28,0.02,-113.4828
Gemelos 1 Norte,28.95568,113.4828,16-Oct-14,28,,35.7,11.9,2,18,27,0.02,-113.4828
Gemelos 1 Norte,28.95568,113.4828,16-Oct-14,28,,35.7,11.9,3,13.5,27,0,-113.4828
Gemelos 1 Norte,28.95568,113.4828,16-Oct-14,28,,35.7,11.9,4,12,27,0,-113.4828
Gemelos 1 Norte,28.95568,113.4828,16-Oct-14,28,,35.7,11.9,5,6.6,27,0,-113.4828
Gemelos 1 Norte,28.95568,113.4828,16-Oct-14,28,,35.7,11.9,6,5.2,27,0,-113.4828
Mitlán,29.06558,113.51867,17-Oct-14,27.8,2.6,35.7,10.2,2,,27,0.04,-113.51867
Mitlán,29.06558,113.51867,17-Oct-14,27.8,2.6,35.7,10.2,3,14.3,27,0,-113.51867
Mitlán,29.06558,113.51867,17-Oct-14,27.8,2.6,35.7,10.2,4,14,27,0.02,-113.51867
Mitlán,29.06558,113.51867,17-Oct-14,27.8,2.6,35.7,10.2,5,,27,0,-113.51867
Mitlán,29.06558,113.51867,17-Oct-14,27.8,2.6,35.7,10.2,6,,,0,-113.51867
Mitlán,29.06563,113.51854,17-Oct-14,27.8,2.6,35.7,10.2,1,,26.7,0.04,-113.51854
Polilla Medio,29.07707,113.5206,17-Oct-14,26.9,6.9,35.7,10.8,1,,,0.06,-113.5206
Polilla Medio,29.07707,113.5206,17-Oct-14,26.9,6.9,35.7,10.8,2,20.2,27,0,-113.5206
Polilla Medio,29.07707,113.5206,17-Oct-14,26.9,6.9,35.7,10.8,3,14.3,27,0.02,-113.5206
Polilla Medio,29.07707,113.5206,17-Oct-14,26.9,6.9,35.7,10.8,4,16.2,27,0.02,-113.5206
Polilla Medio,29.07707,113.5206,17-Oct-14,26.9,6.9,35.7,10.8,5,6.4,27,0.02,-113.5206
Polilla Medio,29.07707,113.5206,17-Oct-14,26.9,6.9,35.7,10.8,6,,,0,-113.5206
Polilla Norte,29.08983,113.52647,17-Oct-14,32.4,1,35.6,11.2,1,,,0.04,-113.52647
Polilla Norte,29.08983,113.52647,17-Oct-14,32.4,1,35.6,11.2,2,19.7,27,0.02,-113.52647
Polilla Norte,29.08983,113.52647,17-Oct-14,32.4,1,35.6,11.2,3,14.5,27,0.02,-113.52647
